"Plot Title: RCSF2"
"#","Date Time, GMT-07:00","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 20198357, LBL: new sap flow 30 cm)","Water Content, m³/m³ (LGR S/N: 20205243, SEN S/N: 21077015, LBL: new sap flow 60 cm)"
413,05/10/21 05:00:01 AM,0.2792,0.3177
414,05/10/21 05:30:01 AM,0.2799,0.3177
415,05/10/21 06:00:01 AM,0.2792,0.3170
416,05/10/21 06:30:01 AM,0.2792,0.3170
417,05/10/21 07:00:01 AM,0.2792,0.3177
418,05/10/21 07:30:01 AM,0.2799,0.3170
419,05/10/21 08:00:01 AM,0.2792,0.3177
420,05/10/21 08:30:01 AM,0.2792,0.3177
421,05/10/21 09:00:01 AM,0.2792,0.3170
422,05/10/21 09:30:01 AM,0.2792,0.3170
423,05/10/21 10:00:01 AM,0.2799,0.3177
424,05/10/21 10:30:01 AM,0.2799,0.3170
425,05/10/21 11:00:01 AM,0.2792,0.3177
426,05/10/21 11:30:01 AM,0.2799,0.3177
427,05/10/21 12:00:01 PM,0.2799,0.3177
428,05/10/21 12:30:01 PM,0.2792,0.3170
429,05/10/21 01:00:01 PM,0.2792,0.3170
430,05/10/21 01:30:01 PM,0.2792,0.3162
431,05/10/21 02:00:01 PM,0.2792,0.3170
432,05/10/21 02:30:01 PM,0.2792,0.3170
433,05/10/21 03:00:01 PM,0.2792,0.3170
434,05/10/21 03:30:01 PM,0.2785,0.3170
435,05/10/21 04:00:01 PM,0.2785,0.3170
436,05/10/21 04:30:01 PM,0.2792,0.3162
437,05/10/21 05:00:01 PM,0.2785,0.3162
438,05/10/21 05:30:01 PM,0.2785,0.3162
439,05/10/21 06:00:01 PM,0.2792,0.3162
440,05/10/21 06:30:01 PM,0.2785,0.3170
441,05/10/21 07:00:01 PM,0.2785,0.3170
442,05/10/21 07:30:01 PM,0.2785,0.3170
443,05/10/21 08:00:01 PM,0.2785,0.3170
444,05/10/21 08:30:01 PM,0.2785,0.3162
445,05/10/21 09:00:01 PM,0.2785,0.3162
446,05/10/21 09:30:01 PM,0.2785,0.3155
447,05/10/21 10:00:01 PM,0.2785,0.3162
448,05/10/21 10:30:01 PM,0.2785,0.3170
449,05/10/21 11:00:01 PM,0.2785,0.3170
450,05/10/21 11:30:01 PM,0.2785,0.3170
451,05/11/21 12:00:01 AM,0.2785,0.3170
452,05/11/21 12:30:01 AM,0.2785,0.3170
453,05/11/21 01:00:01 AM,0.2785,0.3170
454,05/11/21 01:30:01 AM,0.2785,0.3170
455,05/11/21 02:00:01 AM,0.2785,0.3170
456,05/11/21 02:30:01 AM,0.2785,0.3170
457,05/11/21 03:00:01 AM,0.2785,0.3162
