Date,VWC_10cm_CM1SM,VWC_10cm_CM2SM,VWC_10cm_CMSM3,VWC_10cm_CMSM4,VWC_30cm_CM1SM,VWC_30cm_CM2SM,VWC_30cm_CMSM3,VWC_30cm_CMSM4,VWC_1m_CM1SM,VWC_1m_CM2SM,VWC_1m_CMSM3,VWC_1m_CMSM4
2019-07-14 11:30:00,0.359,NA,NA,0.239,0.3775,NA,NA,0.2901,-0.1484,NA,NA,0.2776
2019-07-14 12:00:00,0.3578,NA,NA,0.2387,0.3775,NA,NA,0.2898,-0.1484,NA,NA,0.2776
2019-07-14 12:30:00,0.3578,NA,NA,0.239,0.3775,NA,NA,0.2898,-0.1484,NA,NA,0.2773
2019-07-14 13:00:00,0.3573,NA,NA,0.2383,0.3769,NA,NA,0.2898,-0.1495,NA,NA,0.2776
2019-07-14 13:30:00,0.3563,NA,NA,0.2379,0.3769,NA,NA,0.2901,-0.1495,NA,NA,0.2776
2019-07-14 14:00:00,0.3557,NA,NA,0.2383,0.3769,NA,NA,0.2901,-0.1517,NA,NA,0.2776
2019-07-14 14:30:00,0.3557,NA,NA,0.2383,0.3769,NA,NA,0.2901,-0.1517,NA,NA,0.2776
2019-07-14 15:00:00,0.3553,NA,NA,0.2383,0.3769,NA,NA,0.2901,-0.1538,NA,NA,0.2776
2019-07-14 15:30:00,0.3547,NA,NA,0.2379,0.3769,NA,NA,0.2898,-0.1538,NA,NA,0.2776
2019-07-14 16:00:00,0.3542,NA,NA,0.2379,0.3769,NA,NA,0.2898,-0.1549,NA,NA,0.2773
2019-07-14 16:30:00,0.3542,NA,NA,0.2379,0.3769,NA,NA,0.2898,-0.1561,NA,NA,0.2776
2019-07-14 17:00:00,0.3547,NA,NA,0.2379,0.3762,NA,NA,0.2901,-0.1572,NA,NA,0.2773
2019-07-14 17:30:00,0.3537,NA,NA,0.2379,0.3762,NA,NA,0.2901,-0.1605,NA,NA,0.2776
2019-07-14 18:00:00,0.3537,NA,NA,0.2374,0.3762,NA,NA,0.2901,-0.1616,NA,NA,0.2776
2019-07-14 18:30:00,0.3531,NA,NA,0.2374,0.3762,NA,NA,0.2898,-0.165,NA,NA,0.2773
2019-07-14 19:00:00,0.3531,NA,NA,0.2371,0.3758,NA,NA,0.2898,-0.1639,NA,NA,0.2776
2019-07-14 19:30:00,0.3531,NA,NA,0.2371,0.3758,NA,NA,0.2898,-0.1685,NA,NA,0.2773
2019-07-14 20:00:00,0.3531,NA,NA,0.2371,0.3758,NA,NA,0.2898,-0.1696,NA,NA,0.2773
2019-07-14 20:30:00,0.3531,NA,NA,0.2371,0.3758,NA,NA,0.2898,-0.1708,NA,NA,0.2773
2019-07-14 21:00:00,0.3531,NA,NA,0.2371,0.3751,NA,NA,0.2898,-0.1731,NA,NA,0.2773
2019-07-14 21:30:00,0.3526,NA,NA,0.2363,0.3751,NA,NA,0.2898,-0.1731,NA,NA,0.2773
2019-07-14 22:00:00,0.3526,NA,NA,0.2363,0.3751,NA,NA,0.2898,-0.1743,NA,NA,0.277
2019-07-14 22:30:00,0.3531,NA,NA,0.2363,0.3751,NA,NA,0.2901,-0.1743,NA,NA,0.2773
